RespMat_ 1,RespMat_ 2,RespMat_ 3,RespMat_ 4,RespMat_ 5,RespMat_ 6,RespMat_ 7,RespMat_ 8,RespMat_ 9,RespMat_10,RespMat_11,RespMat_12,RespMat_13
1,Trial number,Block number,Block trial number,Arrow direction,Scrambled?,Correct response,Response,Correct?,RT,T/D same/diff,D emotion,which T
,1,1,1,1,1,a,a,1,0.46686194720678,1,2,1
,2,1,2,2,1,z,z,1,0.399950961698778,1,2,4
,3,1,3,1,1,a,a,1,0.219388524303213,1,1,2
,4,1,4,1,1,z,z,1,0.391131479758769,1,3,1
,5,1,5,2,1,z,z,1,0.522528278059326,1,1,4
,6,1,6,1,1,z,z,1,0.356884378474206,1,2,4
,7,1,7,2,1,z,z,1,0.323333596927114,1,3,3
,8,1,8,2,1,z,z,1,0.38048643397633,1,1,2
,9,1,9,2,1,z,z,1,0.681911557214335,1,2,2
,10,1,10,1,1,a,a,1,0.379027234390378,1,2,1
,11,1,11,1,1,a,a,1,0.288866335642524,1,1,3
,12,1,12,2,1,z,z,1,0.305573459714651,1,2,3
,13,1,13,1,1,a,z,0,0.339134481269866,2,1,2
,14,1,14,1,1,a,a,1,0.352195028797723,1,3,4
,15,1,15,2,1,z,z,1,0.460254873498343,1,3,4
,16,1,16,1,1,z,z,1,0.344908133032732,1,3,4
,17,1,17,2,1,a,a,1,0.335811033379287,1,3,1
,18,1,18,2,1,z,z,1,0.40008408180438,1,1,2
,19,1,19,2,1,a,z,0,0.560369618469849,1,1,4
,20,1,20,1,1,z,z,1,0.375783430878073,1,1,1
,21,1,21,2,1,z,z,1,0.49850183154922,1,2,2
,22,1,22,1,2,z,z,1,0.406199066666886,1,2,2
,23,1,23,1,1,a,z,0,0.443936869269237,1,3,4
,24,1,24,2,1,a,a,1,0.39391732797958,1,3,1
,25,1,25,2,1,a,a,1,0.268579194671474,1,3,3
,26,1,26,1,1,a,a,1,0.472187883453444,1,3,1
,27,1,27,2,1,z,z,1,0.435021245153621,1,1,1
,28,1,28,2,1,a,z,0,0.402343707741238,1,2,3
,29,1,29,1,1,a,z,0,0.482069480698556,1,1,4
,30,1,30,2,1,a,z,0,0.364273105282336,1,1,3
,31,1,31,2,1,z,z,1,0.427959629334509,1,1,1
,32,1,32,2,1,z,z,1,0.487717407871969,1,3,2
,33,1,33,1,1,z,z,1,0.454668386257254,1,2,1
,34,1,34,1,1,a,a,1,0.624763840110973,1,2,1
,35,1,35,2,1,z,z,1,0.456562216742896,1,3,2
,36,1,36,2,2,z,z,1,0.426902634208091,1,2,1
,37,1,37,1,1,a,a,1,0.56433704844676,1,1,2
,38,1,38,1,1,a,z,0,0.712164490716532,2,3,4
,39,1,39,1,2,a,a,1,0.560392373939976,1,3,4
,40,1,40,1,1,z,z,1,0.52604799263645,1,3,2
,41,1,41,1,1,z,z,1,0.462551477365196,1,1,2
,42,1,42,2,1,z,z,1,0.670231133815832,1,2,1
,43,1,43,2,1,a,a,1,0.763865098357201,1,1,1
,44,1,44,1,1,a,a,1,0.501499306294136,1,1,2
,45,1,45,2,1,a,a,1,0.580076492740773,1,2,2
,46,1,46,1,1,z,z,1,0.593958515441045,1,2,3
,47,1,47,1,1,a,a,1,0.977219419786707,1,2,1
,48,1,48,2,1,a,a,1,0.374495466821827,1,3,4
,49,2,1,2,1,z,z,1,0.417139934725128,1,2,1
,50,2,2,1,1,a,a,1,0.602693801862188,1,2,3
,51,2,3,1,1,z,z,1,0.406923830974847,1,3,4
,52,2,4,2,1,z,z,1,0.425370047800243,1,3,2
,53,2,5,1,1,z,z,1,0.375023395521566,2,2,4
,54,2,6,1,2,a,z,0,0.406136488891207,1,1,2
,55,2,7,2,1,z,z,1,0.478430868359283,1,2,3
