RespMat_ 1,RespMat_ 2,RespMat_ 3,RespMat_ 4,RespMat_ 5,RespMat_ 6,RespMat_ 7,RespMat_ 8,RespMat_ 9,RespMat_10,RespMat_11,RespMat_12,RespMat_13
1,Trial number,Block number,Block trial number,Arrow direction,Scrambled?,Correct response,Response,Correct?,RT,T/D same/diff,D emotion,which T
,1,1,1,1,1,a,a,1,0.323494592448696,2,2,4
,2,1,2,1,1,z,a,0,0.384955623827409,1,1,3
,3,1,3,1,1,z,z,1,0.872799325064989,2,3,2
,4,1,4,1,1,a,a,1,0.468511155602755,2,1,1
,5,1,5,2,2,z,z,1,0.722586532239802,1,3,2
,6,1,6,2,1,z,z,1,0.87344444487826,2,2,2
,7,1,7,1,1,z,z,1,0.915799348382279,1,2,4
,8,1,8,1,1,z,z,1,1.11883857953944,2,2,3
,9,1,9,2,2,a,a,1,0.586478197627002,1,1,1
,10,1,10,2,1,a,a,1,0.73184576514177,1,2,3
,11,1,11,2,1,z,z,1,0.676722154166782,1,3,1
,12,1,12,2,1,a,a,1,0.745008143625455,1,2,1
,13,1,13,2,1,a,a,1,0.492843095358694,1,1,3
,14,1,14,2,1,a,a,1,0.510308548196917,1,2,4
,15,1,15,2,1,a,a,1,0.60948917773203,2,1,3
,16,1,16,1,1,a,a,1,0.581588030123385,1,3,3
,17,1,17,1,1,z,z,1,0.669892076111864,1,3,3
,18,1,18,1,2,z,z,1,0.774251868657302,2,3,2
,19,1,19,1,1,a,a,1,0.510593561455607,1,1,4
,20,1,20,2,1,z,z,1,0.940856621280545,2,1,2
,21,1,21,1,1,z,z,1,0.909169519174611,1,2,4
,22,1,22,2,1,z,z,1,0.515086644591065,1,3,4
,23,1,23,1,1,z,z,1,0.416609730367782,1,1,2
,24,1,24,2,1,a,a,1,0.377907092508394,1,3,4
,25,1,25,1,1,z,z,1,0.36276327460655,1,3,1
,26,1,26,2,1,a,a,1,0.487457994691795,1,2,3
,27,1,27,1,1,a,a,1,0.504850060853641,1,3,4
,28,1,28,1,1,a,a,1,0.399499833030859,1,3,1
,29,1,29,2,1,a,a,1,0.455143977189437,1,1,2
