RespMat_ 1,RespMat_ 2,RespMat_ 3,RespMat_ 4,RespMat_ 5,RespMat_ 6,RespMat_ 7,RespMat_ 8,RespMat_ 9,RespMat_10,RespMat_11,RespMat_12,RespMat_13
1,Trial number,Block number,Block trial number,Arrow direction,Scrambled?,Correct response,Response,Correct?,RT,T/D same/diff,D emotion,which T
,1,1,1,1,1,a,a,1,0.612354670185596,1,2,3
,2,1,2,2,1,a,a,1,0.38051317166537,1,3,2
,3,1,3,1,1,z,z,1,0.450859676115215,1,3,2
,4,1,4,1,1,a,a,1,0.411013572011143,2,1,1
,5,1,5,2,2,a,a,1,0.425558350048959,2,1,3
,6,1,6,2,1,z,z,1,0.522737629013136,1,2,3
,7,1,7,1,2,z,z,1,0.771088278386742,1,2,3
,8,1,8,1,1,a,a,1,0.384334397269413,1,1,4
,9,1,9,1,1,a,z,0,0.451674893731251,1,1,3
,10,1,10,1,1,a,a,1,0.499267555773258,1,2,3
,11,1,11,2,1,a,a,1,0.43047980661504,1,3,4
,12,1,12,1,2,a,a,1,0.643532047979534,2,3,3
,13,1,13,2,1,a,a,1,0.430026402231306,1,2,1
,14,1,14,2,1,a,a,1,0.32253487710841,1,1,1
,15,1,15,2,1,a,a,1,0.707765843020752,1,1,2
,16,1,16,1,1,a,a,1,0.557749885832891,1,3,4
,17,1,17,1,1,a,a,1,0.676103772129864,1,3,1
,18,1,18,2,1,z,z,1,0.418257232056931,1,1,2
,19,1,19,2,1,z,z,1,0.54222036129795,1,3,3
,20,1,20,2,1,a,a,1,0.518461861414835,1,3,2
,21,1,21,2,2,z,z,1,0.482542796060443,1,2,4
,22,1,22,2,2,z,z,1,0.452499213628471,1,2,4
,23,1,23,1,2,z,z,1,0.441837669815868,1,1,2
,24,1,24,1,1,a,a,1,0.41950651165098,1,2,1
,25,1,25,2,1,z,z,1,0.506197758251801,1,2,4
,26,1,26,1,1,a,a,1,0.493045619921759,1,3,1
,27,1,27,2,2,z,z,1,0.500730168772861,1,2,4
,28,1,28,2,1,z,z,1,0.534860078943893,1,3,1
,29,1,29,1,1,z,z,1,0.544949320610613,1,3,4
,30,1,30,2,1,z,z,1,0.565773492446169,1,1,3
,31,1,31,1,1,a,a,1,0.645888954168186,1,3,2
,32,1,32,2,1,z,z,1,0.47231246996671,1,1,1
,33,1,33,2,1,z,z,1,0.511746130185202,1,3,2
,34,1,34,1,1,z,z,1,0.496761600952595,1,1,1
,35,1,35,1,1,a,a,1,0.42011636053212,1,2,2
,36,1,36,1,1,z,z,1,0.621559289982542,1,3,1
,37,1,37,2,1,z,a,0,0.664689588593319,1,3,4
,38,1,38,1,1,z,z,1,0.490449780365452,1,2,4
,39,1,39,1,1,z,z,1,0.506454895948991,1,1,2
,40,1,40,2,1,z,z,1,0.469849181827158,1,2,1
,41,1,41,1,1,z,z,1,0.474679047241807,1,2,4
,42,1,42,1,1,a,a,1,0.491496535716578,1,1,2
,43,1,43,2,2,z,z,1,0.453013489022851,1,2,2
,44,1,44,1,1,a,a,1,0.529907333664596,1,2,2
,45,1,45,1,1,z,z,1,0.464968116721138,1,1,3
,46,1,46,2,1,a,a,1,0.532410443993285,1,1,1
,47,1,47,2,1,a,a,1,0.540241766255349,1,3,1
,48,1,48,2,1,z,z,1,0.0905847209505737,1,1,1
,49,2,1,2,1,z,z,1,0.515057062264532,1,3,2
,50,2,2,1,1,z,z,1,0.561350382631645,1,1,2
,51,2,3,1,2,z,z,1,0.453656902071089,1,2,4
,52,2,4,2,1,z,z,1,0.445951304165646,1,2,3
,53,2,5,1,2,a,a,1,0.59191734273918,1,3,4
,54,2,6,2,2,z,z,1,0.461457504425198,2,1,1
,55,2,7,2,2,z,p,0,1.50021987548098,1,3,3
,56,2,8,1,1,a,a,1,0.439040444092825,1,1,1
,57,2,9,1,1,a,a,1,0.445759019814432,1,2,2
,58,2,10,2,2,a,a,1,0.411004469962791,1,1,4
,59,2,11,2,1,z,z,1,0.564081048360094,1,2,2
,60,2,12,2,2,z,z,1,0.496103396639228,1,2,4
,61,2,13,2,2,a,a,1,0.363131345715374,1,1,2
,62,2,14,1,2,z,z,1,0.40360948513262,1,3,4
,63,2,15,1,2,a,z,0,0.437554506585002,1,1,3
,64,2,16,2,1,a,a,1,0.456075816880912,1,3,2
,65,2,17,1,1,a,a,1,0.541366459336132,1,3,4
,66,2,18,2,1,a,a,1,0.515066733583808,1,2,3
,67,2,19,1,1,z,z,1,0.437529475660995,1,3,3
,68,2,20,1,1,z,z,1,0.440598061308265,1,2,2
,69,2,21,1,1,z,z,1,0.472097999183461,1,1,4
,70,2,22,1,1,z,z,1,0.472810816485435,1,2,1
,71,2,23,2,2,z,z,1,0.312585013220087,1,3,1
,72,2,24,2,1,a,a,1,0.389132404932752,1,1,4
,73,2,25,2,2,a,a,1,0.443068176275119,1,3,4
,74,2,26,1,1,a,z,0,0.33732882863842,1,3,2
,75,2,27,2,2,z,z,1,0.228625001618639,2,1,2
,76,2,28,1,1,z,z,1,0.325230840826407,1,2,1
,77,2,29,2,1,z,a,0,0.377114061731845,1,3,2
,78,2,30,2,1,z,z,1,0.35993874212727,1,3,1
,79,2,31,2,1,z,z,1,0.346807083580643,1,1,3
,80,2,32,1,2,z,z,1,0.381134967086837,1,3,1
,81,2,33,2,1,a,a,1,0.44776037032716,1,2,3
,82,2,34,1,1,a,z,0,0.378217705525458,2,1,1
,83,2,35,2,2,z,z,1,0.496241067769006,1,1,2
,84,2,36,2,2,a,a,1,0.341845805058256,2,1,2
,85,2,37,1,1,a,z,0,0.382775073172525,1,3,4
,86,2,38,1,1,a,a,1,0.440019501373172,1,1,4
,87,2,39,2,2,a,a,1,0.344710728619248,1,2,3
,88,2,40,1,1,a,a,1,0.386425063479692,1,2,3
,89,2,41,1,1,a,a,1,0.360290884040296,1,2,4
,90,2,42,1,2,z,z,1,0.492097282316536,1,1,2
,91,2,43,2,2,a,a,1,0.361441746121272,1,2,4
,92,2,44,2,1,a,a,1,0.387245969846845,2,2,3
,93,2,45,1,1,a,z,0,0.419823382748291,1,2,1
,94,2,46,1,1,a,a,1,0.418620183132589,1,1,3
,95,2,47,1,1,a,a,1,0.340684703085572,1,3,2
,96,2,48,2,1,z,z,1,0.509324370650575,1,3,1
,97,3,1,1,1,z,a,0,0.445037099998444,1,3,2
,98,3,2,1,2,z,z,1,0.407706052996218,1,1,4
,99,3,3,2,2,z,z,1,0.425752909854054,1,1,2
,100,3,4,2,1,a,a,1,0.377072532661259,1,2,4
,101,3,5,2,1,a,a,1,0.297727346420288,1,3,4
,102,3,6,2,1,z,a,0,0.330396919511259,1,2,2
,103,3,7,2,1,z,z,1,0.323889970080927,1,1,1
,104,3,8,2,2,z,z,1,0.328871728619561,1,3,4
,105,3,9,1,2,a,z,0,0.236356768291444,1,3,1
,106,3,10,1,1,z,z,1,0.440488265827298,1,3,1
,107,3,11,2,1,z,z,1,0.384291730588302,1,2,1
,108,3,12,1,1,a,z,0,0.334036100655794,1,2,1
,109,3,13,1,1,z,z,1,0.407063777558506,1,1,3
,110,3,14,2,1,a,a,1,0.402460898738354,1,3,1
,111,3,15,2,1,z,z,1,0.47009835508652,1,1,1
,112,3,16,1,1,a,a,1,0.429590633371845,1,3,1
,113,3,17,2,1,a,a,1,0.46250994852744,1,3,2
,114,3,18,1,1,a,a,1,0.398811477702111,2,1,2
,115,3,19,1,2,a,a,1,0.320934024173766,2,2,2
,116,3,20,1,1,a,a,1,0.514634378021583,1,2,3
,117,3,21,2,1,a,a,1,0.369664463680238,1,2,2
,118,3,22,1,1,z,z,1,0.428510313620791,1,1,4
,119,3,23,2,2,z,z,1,0.473788167582825,1,1,2
,120,3,24,1,1,a,a,1,0.46003414480947,1,2,3
,121,3,25,2,2,a,a,1,0.461228811182082,1,3,1
,122,3,26,2,2,a,a,1,0.393019052688032,1,3,4
,123,3,27,1,1,a,z,0,0.33013181714341,1,2,2
,124,3,28,1,1,z,z,1,0.521600420353934,1,1,1
,125,3,29,2,2,z,a,0,0.324082254432142,1,1,2
,126,3,30,1,2,a,a,1,0.411349216243252,1,1,2
,127,3,31,2,1,a,a,1,0.407524577341974,1,3,3
,128,3,32,1,1,z,a,0,0.34713590121828,1,2,3
,129,3,33,1,1,z,z,1,0.744280534796417,1,1,2
,130,3,34,2,1,a,a,1,0.323673223378137,2,2,2
,131,3,35,1,1,z,z,1,0.404706302797422,1,3,3
,132,3,36,2,1,a,a,1,0.356185783166438,1,2,2
,133,3,37,2,1,z,z,1,0.462466144002974,1,1,4
,134,3,38,2,1,a,a,1,0.431803610408679,1,1,1
,135,3,39,1,1,z,z,1,0.390969915548339,1,3,3
,136,3,40,1,1,z,z,1,0.486492021474987,1,1,4
,137,3,41,2,1,a,a,1,0.344395564403385,1,2,4
,138,3,42,1,1,z,z,1,0.40408564498648,1,3,4
,139,3,43,2,1,a,a,1,0.374412409029901,1,2,2
,140,3,44,2,2,a,a,1,0.505764264846221,1,1,1
,141,3,45,2,2,z,z,1,0.409562905784696,1,3,3
,142,3,46,1,1,a,z,0,0.352710441919044,1,2,4
,143,3,47,1,1,z,a,0,0.429265797836706,1,2,4
,144,3,48,1,2,z,z,1,0.631215038243681,2,3,4
,145,4,1,2,1,z,z,1,0.430639095138758,1,1,4
,146,4,2,2,1,z,z,1,0.423829497070983,1,3,1
,147,4,3,1,2,z,z,1,0.456036563729867,2,3,2
,148,4,4,1,1,a,z,0,0.422779328655452,1,3,1
,149,4,5,1,1,z,z,1,0.488130990182981,1,1,4
,150,4,6,2,1,a,a,1,0.467059920541942,1,3,3
,151,4,7,1,1,a,a,1,0.597485056612641,1,2,1
,152,4,8,1,1,z,z,1,0.85376260150224,1,3,1
,153,4,9,1,1,z,p,0,1.50023864884861,2,1,4
,154,4,10,1,1,z,z,1,0.613958367612213,1,3,2
,155,4,11,1,1,z,z,1,0.446602681884542,1,1,3
,156,4,12,2,2,a,a,1,0.643190145958215,1,2,2
,157,4,13,2,1,a,a,1,0.49842218705453,1,1,1
