RespMat_ 1,RespMat_ 2,RespMat_ 3,RespMat_ 4,RespMat_ 5,RespMat_ 6,RespMat_ 7,RespMat_ 8,RespMat_ 9,RespMat_10,RespMat_11,RespMat_12,RespMat_13
1,Trial number,Block number,Block trial number,Arrow direction,Scrambled?,Correct response,Response,Correct?,RT,T/D same/diff,D emotion,which T
,1,1,1,1,1,a,z,0,0.531335813226178,1,3,1
,2,1,2,1,1,z,z,1,0.747784889535978,1,2,3
,3,1,3,2,1,a,a,1,0.678717246977612,1,3,3
,4,1,4,1,1,a,a,1,1.1855788982939,1,2,4
,5,1,5,2,1,a,a,1,0.598263296531513,2,2,1
,6,1,6,1,1,a,a,1,0.579839835176244,1,3,3
,7,1,7,1,1,z,z,1,0.664927953155711,1,2,4
,8,1,8,2,1,a,a,1,1.35434315237217,1,2,2
,9,1,9,1,2,a,a,1,0.500769990961999,1,1,3
,10,1,10,2,1,a,z,0,1.35223200637847,1,1,1
,11,1,11,2,1,z,a,0,0.934729689732194,1,1,4
,12,1,12,1,1,z,a,0,1.38217830914073,1,3,4
,13,1,13,1,1,a,a,1,0.535597358830273,1,3,2
,14,1,14,2,2,a,z,0,0.48338361363858,1,3,4
,15,1,15,1,1,z,a,0,0.689968728227541,1,1,3
,16,1,16,1,1,a,z,0,0.77453233092092,1,1,3
,17,1,17,2,2,z,z,1,0.475734335603192,1,2,2
,18,1,18,2,2,z,z,1,0.627058737212792,1,3,2
,19,1,19,2,1,z,z,1,0.74951089778915,2,2,1
,20,1,20,2,1,z,z,1,1.0297045246698,1,1,3
,21,1,21,2,1,z,z,1,0.48349397815764,1,3,2
,22,1,22,1,1,z,z,1,0.293094885302708,1,1,4
,23,1,23,2,2,z,z,1,0.550577336689457,1,1,3
,24,1,24,1,2,z,z,1,0.499911537859589,1,2,4
,25,1,25,1,1,z,z,1,0.447903161635622,1,1,4
,26,1,26,2,1,a,a,1,0.511792778968811,2,1,2
,27,1,27,1,1,z,z,1,0.606030334252864,1,2,4
,28,1,28,2,2,a,z,0,0.495880961185321,1,2,1
,29,1,29,1,1,a,z,0,0.923911701655015,1,3,3
,30,1,30,1,2,z,z,1,0.600956984562799,1,3,2
,31,1,31,1,1,a,a,1,0.5804849548731,1,3,1
,32,1,32,1,1,z,z,1,0.506384922657162,2,1,2
,33,1,33,2,1,a,a,1,0.578341951128095,1,3,4
,34,1,34,1,1,z,z,1,0.505199358565733,1,1,2
,35,1,35,1,1,a,z,0,0.539698477601632,1,1,3
,36,1,36,1,1,z,a,0,0.760431854752824,1,2,3
,37,1,37,2,1,z,z,1,0.603751935064793,1,3,2
,38,1,38,2,2,z,z,1,1.0612323381938,1,2,4
,39,1,39,2,1,z,z,1,0.35701067163609,1,1,2
,40,1,40,2,2,a,a,1,0.953561044298112,1,3,3
,41,1,41,2,1,z,z,1,0.670011542737484,1,2,3
,42,1,42,1,1,a,a,1,1.06066629383713,1,2,4
,43,1,43,2,1,a,p,0,1.50119438185357,1,3,2
,44,1,44,1,1,a,a,1,1.08911983249709,1,3,2
,45,1,45,2,1,a,a,1,0.542270423611626,1,1,1
,46,1,46,2,1,a,a,1,0.669302707305178,1,1,1
,47,1,47,2,1,a,a,1,0.597322923596948,1,2,4
,48,1,48,1,1,a,z,0,1.40409076493233,1,2,3
,49,2,1,2,1,a,a,1,1.28547006985173,1,2,1
,50,2,2,2,1,a,a,1,0.68414615211077,1,2,1
,51,2,3,1,2,a,z,0,0.583653665147722,1,1,2
,52,2,4,1,2,a,p,0,1.50017208885401,1,1,3
,53,2,5,1,1,a,a,1,1.14774267794564,1,1,1
,54,2,6,2,1,a,z,0,0.699937934288755,1,3,2
,55,2,7,2,1,a,z,0,0.895427443087101,1,3,3
,56,2,8,2,2,a,p,0,1.50117959082127,1,2,2
,57,2,9,1,1,a,a,1,1.4733006299939,1,2,3
,58,2,10,2,1,a,a,1,0.554302420001477,1,3,4
,59,2,11,1,1,a,a,1,0.802238349569961,1,3,4
,60,2,12,2,1,a,a,1,1.13396362401545,1,2,1
,61,2,13,1,1,z,z,1,0.690123465843499,2,1,2
,62,2,14,1,1,z,a,0,0.693713722517714,1,2,2
,63,2,15,1,1,a,a,1,1.24083221587352,2,2,4
,64,2,16,2,1,z,z,1,1.04719500872307,1,3,1
,65,2,17,1,2,a,a,1,0.883789686253294,1,3,3
,66,2,18,1,1,z,z,1,0.799651043489575,1,3,4
,67,2,19,2,1,a,p,0,1.50026993756182,1,1,1
,68,2,20,1,1,a,a,1,1.49072682927363,1,3,1
,69,2,21,2,1,z,z,1,0.463870730251074,1,1,1
,70,2,22,2,2,a,a,1,0.53941972204484,1,1,2
,71,2,23,2,1,z,z,1,0.645461149746552,2,1,1
,72,2,24,1,1,a,a,1,1.21564864972606,1,2,4
,73,2,25,1,1,a,a,1,0.356255756458268,1,3,1
,74,2,26,2,2,a,a,1,0.767949150409549,1,1,4
,75,2,27,2,2,z,z,1,0.649829077534378,1,3,3
,76,2,28,2,1,z,a,0,0.916827899171039,1,2,4
,77,2,29,2,1,a,a,1,0.716438551899046,2,1,2
,78,2,30,1,1,z,a,0,1.37679605279118,1,1,3
,79,2,31,2,2,a,a,1,1.07575948070735,1,1,1
,80,2,32,1,1,a,a,1,0.448908956721425,1,1,1
,81,2,33,2,2,z,z,1,0.494406970450655,1,3,3
,82,2,34,1,2,a,z,0,0.50040476443246,1,2,4
,83,2,35,1,1,z,z,1,0.78985989978537,1,1,4
,84,2,36,2,1,z,p,0,1.50018403562717,1,3,4
,85,2,37,1,1,z,z,1,1.08496068697423,1,3,4
,86,2,38,1,1,a,z,0,0.92906583356671,1,3,2
,87,2,39,2,1,a,z,0,0.536690762732178,1,2,4
,88,2,40,2,1,a,p,0,1.5005577953998,1,3,4
,89,2,41,2,1,a,a,1,1.24123385129496,1,2,3
,90,2,42,2,1,z,z,1,0.557922258973122,1,1,1
,91,2,43,1,2,a,a,1,0.549852572381496,1,2,2
,92,2,44,1,1,a,z,0,0.616458064643666,1,3,3
,93,2,45,1,1,z,z,1,0.640165364602581,1,2,1
,94,2,46,1,2,z,z,1,0.533983990317211,1,2,3
,95,2,47,1,1,z,a,0,0.561777049209923,1,1,3
,96,2,48,2,1,z,z,1,0.57356385467574,1,2,3
,97,3,1,2,1,a,a,1,0.736119257286191,1,3,2
,98,3,2,2,1,z,z,1,0.597894656471908,1,2,2
,99,3,3,1,1,a,a,1,0.715910054277629,1,3,1
,100,3,4,2,2,z,z,1,0.577213844750077,1,3,2
,101,3,5,2,1,z,z,1,0.689799768384546,1,1,1
,102,3,6,2,2,a,a,1,0.610989337321371,1,3,1
,103,3,7,1,1,z,z,1,0.525565006071702,1,2,1
,104,3,8,1,1,a,a,1,0.696453490760177,2,3,2
,105,3,9,1,1,a,a,1,0.564444568241015,1,1,3
,106,3,10,1,1,a,a,1,0.565884425537661,1,1,3
,107,3,11,1,1,a,a,1,0.935550596099347,1,3,2
,108,3,12,1,1,a,a,1,0.611113924067467,1,2,3
,109,3,13,1,1,z,z,1,0.581735941115767,2,3,1
,110,3,14,1,1,z,z,1,0.664079739945009,1,1,2
,111,3,15,2,1,a,z,0,0.934014027705416,1,2,3
,112,3,16,1,1,z,a,0,0.772134464699775,1,2,3
,113,3,17,1,1,a,a,1,0.80454803770408,1,2,2
,114,3,18,2,1,z,z,1,0.985351115232334,1,3,4
,115,3,19,2,1,z,z,1,0.621121814474463,1,1,2
,116,3,20,2,1,z,z,1,0.526652152417228,1,1,4
,117,3,21,2,1,z,z,1,0.528485111892223,1,2,2
