RespMat_ 1,RespMat_ 2,RespMat_ 3,RespMat_ 4,RespMat_ 5,RespMat_ 6,RespMat_ 7,RespMat_ 8,RespMat_ 9,RespMat_10,RespMat_11,RespMat_12,RespMat_13
1,Trial number,Block number,Block trial number,Arrow direction,Scrambled?,Correct response,Response,Correct?,RT,T/D same/diff,D emotion,which T
,1,1,1,2,1,z,z,1,0.999007289181463,1,1,1
,2,1,2,2,1,z,z,1,0.482264609541744,1,1,1
,3,1,3,2,2,z,z,1,0.28232582192868,1,3,4
,4,1,4,2,1,a,a,1,0.376414328464307,1,2,2
,5,1,5,1,2,a,p,0,1.50091676414013,1,1,3
,6,1,6,2,1,a,a,1,0.645147123141214,1,2,4
,7,1,7,2,2,z,z,1,0.5234237088589,1,2,2
,8,1,8,1,1,z,a,0,0.381832424667664,1,3,2
,9,1,9,1,1,z,a,0,0.677759238402359,1,2,4
,10,1,10,1,1,z,a,0,0.341559653985314,1,2,4
,11,1,11,2,1,z,a,0,0.520567887462676,1,3,3
,12,1,12,1,1,a,a,1,0.85698421834968,2,1,1
,13,1,13,1,1,a,a,1,0.499788657878526,1,3,1
,14,1,14,1,1,z,z,1,0.60091033577919,1,2,2
,15,1,15,1,1,z,z,1,0.632305029081181,1,1,3
,16,1,16,2,1,z,z,1,0.502975572482683,1,3,1
,17,1,17,1,1,z,z,1,0.675451825722121,1,1,3
,18,1,18,1,1,z,z,1,1.05956378753763,1,2,2
,19,1,19,2,1,a,a,1,0.907495279680006,1,1,3
,20,1,20,1,2,z,z,1,0.638404085068032,1,3,3
,21,1,21,2,1,a,a,1,0.625013582292013,1,3,2
,22,1,22,2,1,z,a,0,0.979871579096653,1,1,2
,23,1,23,1,1,a,a,1,0.799271026044153,1,3,1
,24,1,24,2,1,z,z,1,1.0466227066936,1,2,1
,25,1,25,2,1,a,a,1,0.748749724822119,1,2,2
,26,1,26,1,1,a,z,0,0.685051822918467,2,1,3
,27,1,27,2,2,z,z,1,0.581871905596927,1,3,4
,28,1,28,2,1,a,z,0,0.614303114125505,2,2,2
,29,1,29,2,1,a,a,1,0.570669348817319,1,1,1
,30,1,30,2,1,a,a,1,0.44597747316584,1,2,1
,31,1,31,1,1,z,z,1,0.370964943314902,1,3,2
,32,1,32,1,1,z,z,1,0.567413598648272,1,2,2
,33,1,33,1,2,z,z,1,0.720769501640461,1,1,4
,34,1,34,1,1,z,z,1,0.547154333209619,1,2,3
,35,1,35,1,2,a,a,1,0.717492133611813,1,3,2
,36,1,36,2,1,z,z,1,0.464505041250959,1,3,3
,37,1,37,1,1,z,z,1,0.459625113755465,1,2,1
,38,1,38,2,2,a,a,1,0.53948969533667,1,2,3
,39,1,39,2,2,z,z,1,0.46717540489044,1,1,3
,40,1,40,1,1,z,z,1,0.480091454461217,1,1,3
,41,1,41,2,1,z,z,1,0.453556777676567,1,1,4
,42,1,42,2,1,z,z,1,0.676168625475839,1,1,2
,43,1,43,2,1,z,z,1,0.384272957337089,1,3,4
,44,1,44,1,2,a,a,1,0.505024709622376,1,3,2
,45,1,45,1,1,a,a,1,0.540923295076936,1,3,3
,46,1,46,2,2,z,z,1,0.451905862544663,1,3,1
,47,1,47,1,1,z,z,1,0.490155096049421,1,1,1
,48,1,48,1,1,a,a,1,0.575974236126058,1,2,4
,49,2,1,1,1,a,a,1,0.74296355759725,1,1,3
,50,2,2,1,2,a,a,1,0.505066238576546,1,3,4
,51,2,3,1,1,a,a,1,0.376736888312735,1,3,1
,52,2,4,1,1,a,a,1,0.510895641404204,1,3,4
,53,2,5,2,1,z,z,1,0.41320379357785,1,3,3
,54,2,6,1,1,z,z,1,0.454024973092601,1,1,4
,55,2,7,2,2,z,z,1,0.460799868917093,1,3,2
,56,2,8,1,1,a,a,1,0.713217503740452,2,3,1
,57,2,9,1,2,a,a,1,0.617263042251579,1,1,1
,58,2,10,1,1,z,z,1,0.424721514689736,1,2,3
,59,2,11,1,1,a,a,1,0.643984883558005,1,2,2
,60,2,12,2,2,z,z,1,0.428857335820794,2,1,1
,61,2,13,2,1,z,z,1,0.434606525232084,2,2,1
,62,2,14,2,1,a,a,1,0.48144256521482,1,3,1
,63,2,15,2,1,a,a,1,0.430202188668773,1,1,4
,64,2,16,2,1,a,a,1,0.364598509622738,1,3,4
,65,2,17,2,1,z,z,1,0.444934131228365,1,2,2
,66,2,18,2,1,z,a,0,0.598222905304283,2,2,4
,67,2,19,2,2,z,z,1,0.761898449971341,1,1,2
,68,2,20,2,2,a,a,1,0.611113923951052,1,1,3
,69,2,21,1,1,a,a,1,0.60857611137908,1,2,1
,70,2,22,2,1,a,a,1,0.491519860224798,1,2,3
,71,2,23,1,1,z,z,1,0.448790627997369,1,2,1
,72,2,24,1,1,a,a,1,0.562827786547132,1,1,1
,73,2,25,1,1,z,z,1,0.611959861475043,1,3,2
,74,2,26,1,1,z,z,1,0.497161529609002,1,1,1
,75,2,27,2,1,z,z,1,0.65545993798878,1,2,4
,76,2,28,2,1,a,a,1,0.521532722865231,1,2,1
,77,2,29,2,1,z,a,0,1.11334197665565,2,3,1
,78,2,30,2,1,a,a,1,0.688688728609122,1,1,2
,79,2,31,1,2,a,a,1,0.624242169084027,1,2,2
,80,2,32,2,1,z,z,1,0.579273221897893,1,2,3
,81,2,33,1,1,z,z,1,0.725795064703561,1,1,3
,82,2,34,2,2,a,a,1,0.328051960095763,1,3,2
,83,2,35,1,1,a,a,1,0.774049344239756,1,3,2
,84,2,36,2,1,a,a,1,0.574355178861879,2,1,3
,85,2,37,2,1,a,a,1,1.00145635509398,2,1,2
,86,2,38,2,2,z,z,1,0.399027655483223,1,3,4
,87,2,39,2,1,z,p,0,1.50078535091598,1,2,2
,88,2,40,1,1,z,z,1,1.27104362065438,1,3,2
,89,2,41,1,2,z,z,1,0.450279409764335,1,1,4
,90,2,42,2,1,a,a,1,0.473223260953091,1,3,3
,91,2,43,1,1,a,a,1,0.428998989053071,1,2,3
,92,2,44,1,1,a,a,1,0.605017712339759,1,1,4
