RespMat_ 1,RespMat_ 2,RespMat_ 3,RespMat_ 4,RespMat_ 5,RespMat_ 6,RespMat_ 7,RespMat_ 8,RespMat_ 9,RespMat_10,RespMat_11,RespMat_12,RespMat_13,RespMat_14,RespMat_15,RespMat_16,RespMat_17,RespMat_18,,,,,,,,,,,,,,,,,,
1,Trial number,Block number,Block trial number,Arrow direction,Scrambled?,Correct response,Response,Correct?,RT,T/D same/diff,D emotion,which T,,RT - ms,RT - Correct Responses,RT  - All Above 200ms,RT - Removed Outliers (3STD),,,Averages,,,,,,,STDEV,Average,,Outliers,Q1`,Q3,IQR,Upper Bound,Lower Bound
,2,1,2,2,1,z,z,1,1.421039667,2,3,3,,1421.039667,1421.04,1421.039667,Outlier,,,Happy,Fearful,,,,,,273.638773,758.9238823,2,,551.2656921,886.097099,334.8314069,1388.344209,49.01858169
,4,1,4,2,1,a,a,1,1.302494634,1,3,4,,1302.494634,1302.49,1302.494634,1302.494634,,,721.4797536,721.8377258,,,,,,,,2,,,,,,
,8,1,8,2,1,a,a,1,0.407273129,1,3,2,,407.2731286,407.27,407.2731286,407.2731286,,,,,,,,,,,,8,,,,,,
,13,1,13,1,1,z,z,1,0.620271326,1,3,2,,620.2713258,620.27,620.2713258,620.2713258,,,,,,,,,,,,4,,,,,,
,15,1,15,1,2,z,z,1,0.541320379,1,3,2,,541.3203794,541.32,541.3203794,541.3203794,,,,,,,,,,,,2,,,,,,
,18,1,18,1,1,z,z,1,0.884174255,1,3,2,,884.1742552,884.17,884.1742552,884.1742552,,,,,,,,,,,,8,,,,,,
,20,1,20,2,1,a,a,1,0.77328362,1,3,2,,773.2836201,773.28,773.2836201,773.2836201,,,,,,,,,,,,2,,,,,,
,22,1,22,1,2,z,z,1,0.560557352,1,3,4,,560.5573517,560.56,560.5573517,560.5573517,,,,,,,,,,,,2,,,,,,
,27,1,27,1,1,a,a,1,0.891652866,1,3,4,,891.6528664,891.65,891.6528664,891.6528664,,,,,,,,,,,,18,,,,,,
,36,1,36,2,1,a,a,1,0.778362659,1,3,3,,778.3626586,778.36,778.3626586,778.3626586,,,,,,,,,,,,4,,,,,,
,37,1,37,1,2,z,z,1,1.187674116,1,3,3,,1187.674116,1187.67,1187.674116,1187.674116,,,,,,,,,,,,,,,,,,
,40,1,40,1,1,z,z,1,0.454480084,1,3,4,,454.480084,454.48,454.480084,454.480084,,,,,,,,,,,,,,,,,,
,42,1,42,1,1,a,a,1,1.026199601,1,3,2,,1026.199601,1026.20,1026.199601,1026.199601,,,,,,,,,,,,,,,,,,
,43,1,43,2,1,z,z,1,0.639515694,1,3,2,,639.5156936,639.52,639.5156936,639.5156936,,,,,,,,,,,,,,,,,,
,45,1,45,2,1,z,z,1,0.535180363,1,3,1,,535.1803633,535.18,535.1803633,535.1803633,,,,,,,,,,,,,,,,,,
,48,1,48,2,1,z,z,1,0.788289198,1,3,2,,788.2891981,788.29,788.2891981,788.2891981,,,,,,,,,,,,,,,,,,
,50,2,2,2,1,a,a,1,0.611959293,1,3,1,,611.9592927,611.96,611.9592927,611.9592927,,,,,,,,,,,,,,,,,,
,52,2,4,2,1,a,z,0,1.007770451,1,3,3,,1007.770451,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,54,2,6,1,1,a,a,1,0.466479654,1,3,2,,466.479654,466.48,466.479654,466.479654,,,,,,,,,,,,,,,,,,
,58,2,10,1,1,a,a,1,1.369752073,1,3,3,,1369.752073,1369.75,1369.752073,1369.752073,,,,,,,,,,,,,,,,,,
,59,2,11,2,1,z,z,1,1.297586831,1,3,2,,1297.586831,1297.59,1297.586831,1297.586831,,,,,,,,,,,,,,,,,,
,62,2,14,1,1,z,z,1,1.419513338,1,3,2,,1419.513338,1419.51,1419.513338,Outlier,,,,,,,,,,,,,,,,,,
,65,2,17,1,1,z,a,0,1.376684551,1,3,2,,1376.684551,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,72,2,24,2,1,z,z,1,0.698963428,2,3,1,,698.9634279,698.96,698.9634279,698.9634279,,,,,,,,,,,,,,,,,,
,77,2,29,2,1,z,a,0,0.91010591,1,3,4,,910.10591,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,79,2,31,1,1,a,a,1,0.734545142,1,3,3,,734.5451422,734.55,734.5451422,734.5451422,,,,,,,,,,,,,,,,,,
,80,2,32,1,1,a,a,1,0.886097099,1,3,3,,886.097099,886.10,886.097099,886.097099,,,,,,,,,,,,,,,,,,
,82,2,34,1,1,z,z,1,0.670704449,1,3,1,,670.7044492,670.70,670.7044492,670.7044492,,,,,,,,,,,,,,,,,,
,86,2,38,2,1,a,a,1,1.130770452,1,3,1,,1130.770452,1130.77,1130.770452,1130.770452,,,,,,,,,,,,,,,,,,
,89,2,41,2,1,z,z,1,0.851791402,1,3,1,,851.7914021,851.79,851.7914021,851.7914021,,,,,,,,,,,,,,,,,,
,93,2,45,2,1,a,a,1,0.556424944,1,3,1,,556.424944,556.42,556.424944,556.424944,,,,,,,,,,,,,,,,,,
,96,2,48,1,1,z,z,1,1.066967305,2,3,1,,1066.967305,1066.97,1066.967305,1066.967305,,,,,,,,,,,,,,,,,,
,97,3,1,2,1,z,z,1,1.337838553,2,3,2,,1337.838553,1337.84,1337.838553,1337.838553,,,,,,,,,,,,,,,,,,
,98,3,2,2,2,z,z,1,0.388539054,1,3,3,,388.539054,388.54,388.539054,388.539054,,,,,,,,,,,,,,,,,,
,107,3,11,2,1,a,a,1,1.428418723,2,3,2,,1428.418723,1428.42,1428.418723,Outlier,,,,,,,,,,,,,,,,,,
,108,3,12,2,1,a,a,1,1.177261176,1,3,3,,1177.261176,1177.26,1177.261176,1177.261176,,,,,,,,,,,,,,,,,,
,109,3,13,1,2,z,z,1,0.918946441,2,3,1,,918.9464409,918.95,918.9464409,918.9464409,,,,,,,,,,,,,,,,,,
,111,3,15,1,2,a,a,1,1.07698828,1,3,1,,1076.98828,1076.99,1076.98828,1076.98828,,,,,,,,,,,,,,,,,,
,114,3,18,1,1,z,z,1,0.564564604,1,3,3,,564.5646038,564.56,564.5646038,564.5646038,,,,,,,,,,,,,,,,,,
,116,3,20,1,1,a,a,1,0.655813218,1,3,1,,655.8132179,655.81,655.8132179,655.8132179,,,,,,,,,,,,,,,,,,
,123,3,27,2,2,z,z,1,0.818196816,2,3,2,,818.1968163,818.20,818.1968163,818.1968163,,,,,,,,,,,,,,,,,,
,128,3,32,1,2,z,z,1,1.425799559,1,3,2,,1425.799559,1425.80,1425.799559,Outlier,,,,,,,,,,,,,,,,,,
,131,3,35,1,2,z,p,0,1.500066276,1,3,2,,1500.066276,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,136,3,40,2,2,z,p,0,1.500111787,1,3,4,,1500.111787,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,137,3,41,2,1,a,p,0,1.50012544,1,3,2,,1500.12544,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,139,3,43,1,1,a,p,0,1.500199964,1,3,4,,1500.199964,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,140,3,44,2,2,a,a,1,0.697516744,1,3,1,,697.5167438,697.52,697.5167438,697.5167438,,,,,,,,,,,,,,,,,,
,143,3,47,1,1,a,a,1,0.596776221,1,3,1,,596.7762213,596.78,596.7762213,596.7762213,,,,,,,,,,,,,,,,,,
,147,4,3,1,2,z,z,1,0.553198776,1,3,2,,553.198776,553.20,553.198776,553.198776,,,,,,,,,,,,,,,,,,
,148,4,4,2,1,z,z,1,0.875659698,2,3,3,,875.6596976,875.66,875.6596976,875.6596976,,,,,,,,,,,,,,,,,,
,151,4,7,1,1,a,a,1,0.68263177,1,3,1,,682.6317703,682.63,682.6317703,682.6317703,,,,,,,,,,,,,,,,,,
,158,4,14,2,2,z,z,1,1.115368927,1,3,1,,1115.368927,1115.37,1115.368927,1115.368927,,,,,,,,,,,,,,,,,,
,160,4,16,1,1,z,z,1,0.686667467,1,3,3,,686.6674669,686.67,686.6674669,686.6674669,,,,,,,,,,,,,,,,,,
,162,4,18,2,2,z,z,1,0.755400603,1,3,1,,755.4006029,755.40,755.4006029,755.4006029,,,,,,,,,,,,,,,,,,
,164,4,20,1,1,z,z,1,0.793355721,1,3,2,,793.355721,793.36,793.355721,793.355721,,,,,,,,,,,,,,,,,,
,166,4,22,2,2,z,z,1,1.242450704,1,3,2,,1242.450704,1242.45,1242.450704,1242.450704,,,,,,,,,,,,,,,,,,
,176,4,32,2,1,z,z,1,0.660557181,1,3,1,,660.557181,660.56,660.557181,660.557181,,,,,,,,,,,,,,,,,,
,177,4,33,2,1,a,z,0,0.523171122,1,3,3,,523.1711223,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,178,4,34,1,1,a,a,1,0.700629134,1,3,3,,700.629134,700.63,700.629134,700.629134,,,,,,,,,,,,,,,,,,
